# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, Andrew Leakey, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
lat,lon,salix_yield
47.96,-118.16,6.80
48.25,-118.22,4.38
48.54,-118.29,6.71
48.82,-118.35,8.73
32.89,-115.20,0.10
33.17,-115.23,0.13
33.45,-115.27,0.27
33.73,-115.31,0.12
34.01,-115.35,0.19
34.29,-115.38,0.31
34.57,-115.42,0.49
34.85,-115.46,1.59
35.13,-115.50,1.68
35.41,-115.54,0.50
35.69,-115.58,1.07
35.97,-115.62,0.13
36.26,-115.66,0.57
36.54,-115.70,0.13
36.82,-115.74,0.15
37.10,-115.78,0.57
37.39,-115.83,0.64
37.67,-115.87,2.19
37.95,-115.91,0.18
38.24,-115.95,1.18
38.52,-116.00,0.51
38.81,-116.04,0.58
39.09,-116.09,0.63
39.38,-116.13,0.98
39.66,-116.18,1.80
39.95,-116.22,3.26
40.23,-116.27,4.22
40.52,-116.32,2.73
40.81,-116.36,2.53
41.09,-116.41,1.40
41.38,-116.46,2.08
41.66,-116.51,2.48
41.95,-116.56,1.74
42.24,-116.61,1.54
42.53,-116.66,2.86
42.81,-116.71,3.24
43.10,-116.76,2.64
43.39,-116.81,1.58
43.68,-116.86,2.53
43.96,-116.92,2.72
44.25,-116.97,3.80
44.54,-117.03,3.48
44.83,-117.08,3.26
45.12,-117.14,7.54
45.40,-117.19,5.81
45.69,-117.25,7.28
45.98,-117.31,4.86
46.27,-117.36,3.60
46.56,-117.42,7.58
46.85,-117.48,8.42
47.13,-117.54,9.04
47.42,-117.60,4.95
47.71,-117.66,5.04
48.00,-117.72,3.90
48.29,-117.79,10.86
48.58,-117.85,10.79
48.87,-117.92,9.65
32.92,-114.86,0.13
33.20,-114.90,0.14
33.48,-114.94,0.16
33.76,-114.97,0.11
34.04,-115.01,0.41
34.32,-115.04,0.53
34.60,-115.08,0.42
34.88,-115.12,1.46
35.16,-115.16,0.72
35.44,-115.19,0.22
35.72,-115.23,0.70
36.01,-115.27,0.71
36.29,-115.31,0.15
36.57,-115.35,0.31
