# Dan Wang, David LeBauer, and Michael Dietze 2013. Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model–data synthesis. Ecological Applications 23:944–958. http://dx.doi.org/10.1890/12-0854.1
"lon","lat","poplar_yield"
-83.25,34.25,9.58
-82.75,34.25,12.2
-82.25,34.25,11.9
-81.75,34.25,10.5
-81.25,34.25,10.5
-80.75,34.25,12
-80.25,34.25,9.98
-79.75,34.25,10.1
-79.25,34.25,10.8
-78.75,34.25,11.6
-78.25,34.25,9.66
-77.75,34.25,7.58
-120.75,34.75,5.46
-120.25,34.75,3.81
-119.75,34.75,2.7
-119.25,34.75,2.45
-118.75,34.75,2.38
-118.25,34.75,2.6
-117.75,34.75,2.46
-117.25,34.75,2.24
-116.75,34.75,1.96
-116.25,34.75,2.47
-115.75,34.75,3.14
-115.25,34.75,2.92
-114.75,34.75,2.58
